
Chapter-1-page-1.html
python              : n. 丹舌,大蟒,巨蟒
await               : vt. 等候,准备...以待,储存 vi. 等待
intersection        : n. 交集,十字路口,交叉点 [计算机] 交集
terminate           : adj. 有结尾的,有限的 vt. 结束,终止,满期 vi. 达到终点
adobe               : n. 泥砖, 土坯 美国Adobe公司
attachment          : n. 附件, 附著, 附属物, 依恋, 忠诚，依赖 [法律]扣押令
pointed             : adj. 尖的, 锐利的, 率直的，显而易见的 动词point的过去式和过去分词
routine             : n. 例行公事, 常规，无聊 adj. 常规的, 例行的，乏味的
percentile          : n. 百分位 adj. 按百等分排列的
shaped              : adj. 成形的 动词shape的过去式和过去分词形式
promotion           : n. 促进,提升,推广
behave              : vt. &vi. 举止,行为,举止端正

Chapter-10-page-4.html
triple              : n. 三倍之数,三个一组 adj. 三倍的
Martin              : Martin: n. 马丁(男子名) martin: n. 圣马丁鸟
oregon              : n.俄勒冈州(美国州名)
street              : n. 街道 adj. 街道的
metrics             : n. 韵律学 n. 度量学
qualification       : n. 资格, 条件, 限制
redefine            : vt. 重新定义
restful             : adj. 益于休息的, 平静的, 安静的
marrow              : n. 骨髓, 精华, 活力 n. 西葫芦
pendulum            : n. 摆, 钟摆，摇摆不定的事态（或局面）
cartridge           : n. 弹药筒,弹药,一卷软片 墨水筒，笔芯
newspaper           : n. 报纸，报社，新闻纸 v. 从事新闻工作
extensible          : adj. 可延伸的，可扩张的
central             : adj. 中心的,基本的,折中的,中枢的 n. 电话交流,中央办公室,中心
integrated          : adj. 整合的,综合的 vt.&vi. 使整合(integrate的过去式及过去分词)
committed           : adj.  尽心尽力的；坚信的；坚定的
variant             : n. 变体 adj. 不同的
alive               : adj. 活着的,有活力
cleaning            : n. 清洁, 扫除, 垃圾 动词clean的现在分词形式
packaging           : n. 包装, 包装袋

Chapter-10-page-5.html
tower               : n. 塔,高楼,堡垒 vi. 屹立,超越
chance              :adj. n. 机会, 意外, 运气, 风险 vi. 偶然发生 vt. 偶然发生, 冒险 adj. 偶然的，意外的，碰巧的
experimental        : adj. 实验(性)的, 试验(性)的
enclosure           : n. 附件,围墙,围绕
enumeration         : n.列举
rounded             : adj. 全面的，圆形的 动词round的过去式和过去分词形式
permit              : n. 许可证,执照 vt. &vi. 允许,许可
loiter              : v. 闲荡, 虚度, 徘徊
scheduled           : adj.预定的
earth               : n. 地球,泥土,世间,大地,地球人 vt. 赶入洞中,提取土壤 vi. 躲入洞穴
intelligence        : n. 理解力, 智力, 情报, 情报工作, 情报机关
inbox               : n. 收件箱
composer            : n.创作者（尤指乐曲的）
companion           : n. 同伴, 同事, 成对物品之一, (船的)甲板间扶梯(或扶梯的顶篷) vt. &vi. 陪伴
contributor         : n. 贡献者, 捐助者, 赠送者，投稿人
dashboard           : n. (汽车上的)仪表盘
restore             : vt. 恢复,归还,翻新
